window_type,step,new_task_count,queue_before_dispatch,queue_after_dispatch,overdue_queue_before_dispatch,cumulative_hard_sla_violations,running_task_count,used_cpu,used_gpu,used_memory,h1_status,h1_solve_ms,h1_terminal_backlog,h1_projected_sla_violations,h1_defer_actions,h1_integer_variables,h4_status,h4_solve_ms,h4_terminal_backlog,h4_projected_sla_violations,h4_defer_actions,h4_integer_variables
LOW_LOAD,2323,10,10,0,0,0,5029,155588.2,5969.800000000001,88985.79832563539,optimal,3.008300089277327,0,0,0,60,optimal,1.4564000302925706,0,0,0,260
LOW_LOAD,2324,23,23,0,0,0,5037,155654.2,5977.800000000001,89099.82536320505,optimal,1.2234000023454428,0,0,0,138,optimal,2.264099894091487,0,0,0,598
MEDIUM_LOAD,2949,25,25,0,0,0,5332,162935.0,6333.300000000001,94365.58885637186,optimal,1.2172000715509057,0,0,0,150,optimal,3.704099915921688,0,0,0,650
MEDIUM_LOAD,2950,21,21,0,0,0,5326,163003.0,6331.300000000001,94265.59020765973,optimal,1.1761999921873212,0,0,0,126,optimal,2.0798000041395426,0,0,0,546
MEDIUM_LOAD,2951,25,25,0,0,0,5326,162615.0,6317.300000000001,94437.09525343252,optimal,1.197999925352633,0,0,0,150,optimal,2.3593000369146466,0,0,0,650
MEDIUM_LOAD,2952,17,17,0,0,0,5323,162555.0,6316.300000000001,94323.41320030572,optimal,1.0596000356599689,0,0,0,102,optimal,2.2854000562801957,0,0,0,442
MEDIUM_LOAD,2953,30,30,0,0,0,5332,163090.0,6352.300000000001,94483.0087584301,optimal,1.3240000698715448,0,0,0,180,optimal,2.655400079675019,0,0,0,780
MEDIUM_LOAD,2954,26,26,0,0,0,5332,162699.0,6325.300000000001,94388.14351918203,optimal,1.2391000054776669,0,0,0,156,optimal,2.355000004172325,0,0,0,676
MEDIUM_LOAD,2955,21,21,0,0,0,5332,162741.0,6328.300000000001,94462.4513501546,optimal,1.1915999930351973,0,0,0,126,optimal,2.1858999971300364,0,0,0,546
MEDIUM_LOAD,2956,23,23,0,0,0,5330,162894.0,6336.300000000001,94382.85479765333,optimal,1.2517999857664108,0,0,0,138,optimal,2.2565999533981085,0,0,0,598
MEDIUM_LOAD,2957,24,24,0,0,0,5333,163143.0,6350.300000000001,94475.58506072582,optimal,1.2142000487074256,0,0,0,144,optimal,2.3835001047700644,0,0,0,624
MEDIUM_LOAD,2958,29,29,0,0,0,5338,163205.0,6356.300000000001,94432.66056587186,optimal,1.394100021570921,0,0,0,174,optimal,2.49510002322495,0,0,0,754
MEDIUM_LOAD,2959,25,25,0,0,0,5341,163413.0,6377.300000000001,94509.02625453744,optimal,1.2863000156357884,0,0,0,150,optimal,2.407599939033389,0,0,0,650
MEDIUM_LOAD,2960,22,22,0,0,0,5335,163137.0,6367.300000000001,94405.01480219676,optimal,1.1439999798312783,0,0,0,132,optimal,2.0689000375568867,0,0,0,572
MEDIUM_LOAD,2961,27,27,0,0,0,5345,163475.0,6387.300000000001,94549.7838100426,optimal,1.344699994660914,0,0,0,162,optimal,2.6513999328017235,0,0,0,702
MEDIUM_LOAD,2962,16,16,0,0,0,5335,163360.0,6374.300000000001,94398.27386121693,optimal,1.1027998989447951,0,0,0,96,optimal,1.8351000035181642,0,0,0,416
MEDIUM_LOAD,2963,31,31,0,0,0,5344,163682.0,6385.300000000001,94552.33060342813,optimal,1.2610999401658773,0,0,0,186,optimal,3.0548000941053033,0,0,0,806
MEDIUM_LOAD,2964,18,18,0,0,0,5348,163940.0,6407.300000000001,94588.75560757218,optimal,1.0991999879479408,0,0,0,108,optimal,1.947999931871891,0,0,0,468
LONG_TASK_DENSE,7054,63,63,0,0,0,5679,169926.68000000002,6791.149999999999,113072.27446121191,optimal,1.7110999906435609,0,0,0,378,optimal,5.428300006315112,0,0,0,1638
